,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
39,,"POLYGON ((49.9676088 53.0928217, 49.9663735 53.0932839, 49.9662712 53.0931853, 49.9675065 53.0927232, 49.9676088 53.0928217))",улица Дзержинского,28,POINT (49.966939925278574 53.09300355364487),53.09300355364487,49.966939925278574,Новокуйбышевск улица Дзержинского 28
40,,"POLYGON ((49.9686486 53.0931513, 49.9688234 53.0928453, 49.9690237 53.0928866, 49.9689346 53.0930426, 49.9691685 53.0930908, 49.9692583 53.0929335, 49.9694544 53.0929739, 49.9692781 53.0932825, 49.9690798 53.0932416, 49.9691333 53.0931481, 49.9688978 53.0930996, 49.9688451 53.0931918, 49.9686486 53.0931513))",улица Нефтепроводчиков,13,POINT (49.96904975338608 53.09306640495326),53.09306640495326,49.96904975338608,Новокуйбышевск улица Нефтепроводчиков 13
41,,"POLYGON ((49.9700136 53.0948164, 49.9701781 53.0947554, 49.9701578 53.0947357, 49.9702837 53.0946891, 49.9703065 53.0947112, 49.9704774 53.0946479, 49.9704545 53.0946256, 49.9705358 53.0945955, 49.9704313 53.0944937, 49.9703364 53.0945289, 49.9703592 53.0945511, 49.9702306 53.0945988, 49.9702091 53.0945778, 49.9700548 53.094635, 49.9700783 53.0946578, 49.9699432 53.0947079, 49.9699208 53.094686, 49.9698251 53.0947215, 49.9699289 53.0948224, 49.9699947 53.0947981, 49.9700136 53.0948164))",улица Дзержинского,36Б,POINT (49.97019221308709 53.094668027856905),53.094668027856905,49.97019221308709,Новокуйбышевск улица Дзержинского 36Б
42,,"POLYGON ((49.9699014 53.0940588, 49.9697286 53.0941229, 49.9697512 53.0941448, 49.9696261 53.0941912, 49.9696016 53.0941674, 49.9694321 53.0942303, 49.9694565 53.094254, 49.9693711 53.0942856, 49.969475 53.0943854, 49.9695708 53.0943499, 49.9695509 53.0943305, 49.969679 53.094283, 49.9697003 53.0943038, 49.9698573 53.0942456, 49.9698379 53.0942267, 49.9699657 53.0941792, 49.9699826 53.0941957, 49.9700792 53.0941598, 49.9699751 53.0940586, 49.9699217 53.0940785, 49.9699014 53.0940588))",улица Дзержинского,36А,POINT (49.96971703858694 53.094211991664),53.094211991664,49.96971703858694,Новокуйбышевск улица Дзержинского 36А
43,,"POLYGON ((49.9691442 53.0943277, 49.9697664 53.0949204, 49.9699596 53.0948511, 49.9699289 53.0948224, 49.9698251 53.0947215, 49.969475 53.0943854, 49.9693711 53.0942856, 49.96934 53.0942553, 49.9691442 53.0943277))",улица Дзержинского,36,POINT (49.96955144164138 53.094587577413414),53.09458757741341,49.96955144164138,Новокуйбышевск улица Дзержинского 36
44,,"POLYGON ((49.9761483 53.0918978, 49.9766864 53.0924372, 49.9765213 53.0924967, 49.9759831 53.0919573, 49.9761483 53.0918978))",улица Свердлова,18,POINT (49.97633475434903 53.09219723022242),53.09219723022242,49.97633475434903,Новокуйбышевск улица Свердлова 18
45,,"POLYGON ((49.9641087 53.0983674, 49.9642811 53.0984016, 49.9646051 53.0978126, 49.9644327 53.0977784, 49.9641087 53.0983674))",улица Островского,22,POINT (49.9643569 53.09809000000001),53.09809000000001,49.9643569,Новокуйбышевск улица Островского 22
46,,"POLYGON ((49.9636631 53.0979424, 49.9638354 53.0979765, 49.9641593 53.0973875, 49.963987 53.0973533, 49.9636631 53.0979424))",улица Островского,20,POINT (49.963911205569445 53.09766491043836),53.09766491043836,49.963911205569445,Новокуйбышевск улица Островского 20
47,,"POLYGON ((49.9632362 53.0975192, 49.9634148 53.0975551, 49.9637434 53.0969659, 49.9635648 53.09693, 49.9632362 53.0975192))",улица Островского,18,POINT (49.9634898 53.09724255),53.09724255,49.9634898,Новокуйбышевск улица Островского 18
48,,"POLYGON ((49.9618713 53.0984955, 49.9623136 53.0978967, 49.9624871 53.0979429, 49.9620448 53.0985417, 49.9618713 53.0984955))",улица Островского,19,POINT (49.96217920000001 53.09821920000001),53.09821920000001,49.96217920000001,Новокуйбышевск улица Островского 19
