,name,geometry,addr:street,addr:housenumber,centroid,lat,lon
10204,,"POLYGON ((60.1453453 55.1374765, 60.1453518 55.1375395, 60.1452606 55.1375426, 60.1452541 55.1374796, 60.1453453 55.1374765))",,,POINT (60.14530295000001 55.137509550000004),55.13750955,60.14530295000001
10205,,"POLYGON ((60.1485841 55.137462, 60.1485006 55.1375188, 60.1486347 55.1375832, 60.1486545 55.1375697, 60.1487049 55.1375939, 60.1487447 55.1375669, 60.1486942 55.1375427, 60.1487182 55.1375264, 60.1485841 55.137462))",,,POINT (60.148623076734125 55.13752953045019),55.13752953045019,60.148623076734125
10206,,"POLYGON ((60.1511443 55.1358107, 60.1510664 55.1358317, 60.1512086 55.1360042, 60.1512864 55.1359832, 60.1511443 55.1358107))",,,POINT (60.151176411721046 55.135907435117),55.135907435117,60.151176411721046
10207,,"POLYGON ((60.1519228 55.1356792, 60.1519242 55.1357049, 60.1520114 55.1357033, 60.15201 55.1356777, 60.1519228 55.1356792))",,,POINT (60.15196707170467 55.13569127563675),55.13569127563675,60.15196707170467
10208,ТП-27,"POLYGON ((60.1532283 55.1350517, 60.1531141 55.1350542, 60.1531074 55.1349507, 60.1532216 55.1349483, 60.1532283 55.1350517))",,,POINT (60.1531678408451 55.13500122568531),55.13500122568531,60.1531678408451
10209,,"POLYGON ((60.1528505 55.135055, 60.1528527 55.1350881, 60.1525963 55.1350938, 60.1525952 55.1350786, 60.152594 55.1350607, 60.1528505 55.135055))",,,POINT (60.152723362561446 55.13507439923938),55.13507439923938,60.152723362561446
10210,,"POLYGON ((60.1128441 55.0602169, 60.1128458 55.0601405, 60.1126749 55.0601393, 60.1126732 55.0602156, 60.1128441 55.0602169))",,,POINT (60.11275951864825 55.06017807521929),55.06017807521929,60.11275951864825
10211,,"POLYGON ((60.1107921 55.0423768, 60.1108453 55.0423341, 60.1109051 55.0423585, 60.1108519 55.0424012, 60.1107921 55.0423768))",,,POINT (60.11084859999999 55.04236765000001),55.04236765000001,60.11084859999999
10212,,"POLYGON ((60.1585378 55.1357386, 60.1586396 55.1357272, 60.1592028 55.1373708, 60.159101 55.1373822, 60.1585378 55.1357386))",,,POINT (60.158870300000004 55.1365547),55.1365547,60.1588703
10213,,"POLYGON ((60.1585981 55.1355769, 60.1584835 55.135589, 60.1583535 55.1351873, 60.158468 55.1351752, 60.1585981 55.1355769))",,,POINT (60.15847578439081 55.135382128231086),55.135382128231086,60.15847578439081
